MAIN.PRIVATE_GAME	プライベートゲーム
MAIN.PUBLIC_GAME	パブリックゲーム
MAIN.JOIN_FRIEND	フレンドに参加
MAIN.SINGLEPLAYER	シングルプレイ
MAIN.TUTORIAL	チュートリアル
MAIN.SETTINGS	設定
MAIN.QUIT_GAME	ゲーム終了
POPUP.PRIVATE_GAME.HEADER	ゲームホスト
POPUP.PRIVATE_GAME.BODY	性能が良いコンピュータを持つフレンドがホストすることをお勧めします\n\nあなたがホストでよろしいですか?
POPUP.PRIVATE_GAME.OPT1	もちろん!
POPUP.PRIVATE_GAME.OPT2	やめておきます
POPUP.PUBLIC_GAME.HEADER	警告
POPUP.PUBLIC_GAME.BODY	ランダムなプレイヤーと遊んでいると、チートやいやがらせをする人に遭遇するかもしれません
POPUP.PUBLIC_GAME.OPT1	了解
POPUP.PUBLIC_GAME.OPT2	やめておく
POPUP.QUIT_GAME.HEADER	ゲーム終了
POPUP.QUIT_GAME.BODY	アプリケーションを終了します
POPUP.QUIT_GAME.OPT1	はい
POPUP.QUIT_GAME.OPT2	いいえ
POPUP.SELF_DESTRUCT.HEADER	自爆
POPUP.SELF_DESTRUCT.BODY	本当に?
POPUP.SELF_DESTRUCT.OPT1	自爆する
POPUP.SELF_DESTRUCT.OPT2	キャンセル
SAVES.GO_BACK	< 戻る
SAVES.NEW_GAME	新規作成
SAVES.SINGLEPLAYER_MODE	シングルプレイ
SAVES.MULTIPLAYER_MODE	マルチプレイ
SAVES.HEADER	セーブファイル
SAVES.PAGE_INFO.HEADER	セーブファイル
SAVES.PAGE_INFO.DESCRIPTION	これまでに楽しんだすべての思い出です!\n\n中断したところから再開できます
SAVES.SAVE_INFO.DELETE_SAVE	削除
SAVES.SAVE_INFO.LOAD_SAVE	ロード
SAVES.SAVE_INFO.USE_BACKUP	バックアップを使用
SAVES.SAVE_INFO.CURRENT_MOON	ムーン:
POPUP.MAIN_MENU.OPT1	はい
POPUP.MAIN_MENU.BODY	メインメニューに戻ります
POPUP.MAIN_MENU.HEADER	メインメニュー
SAVES.SAVE_INFO.TOTAL_HAUL	総納品額:
POPUP.LOAD_SAVE.HEADER	ロード
POPUP.LOAD_SAVE.BODY	このセーブファイルをロードします
POPUP.LOAD_SAVE.OPT1	はい
POPUP.LOAD_SAVE.OPT2	いいえ
POPUP.DELETE_SAVE.HEADER	セーブ削除
POPUP.DELETE_SAVE.BODY	このセーブファイルを完全に削除します
POPUP.DELETE_SAVE.OPT1	はい
