BIG_MESSAGE.EXTRACTION.ACTIVATED	抽出ポイント起動
BIG_MESSAGE.EXTRACTION.COMPLETED	抽出ポイント完了
FOCUS.EXTRACTION.FILL_VALUABLES	抽出ポイントにお宝を納品しよう
FOCUS.EXTRACTION.AVOID_GRENADES	グレネードを避けろ!
FOCUS.EXTRACTION.FIND_NEXT	次の抽出ポイントを探そう
FOCUS.EXTRACTION.BACK_TO_TRUCK	トラックに戻ろう!
TUTORIAL.TRANSITION_TEXT	よくできました!
TUTORIAL.MOVEMENT.TEXT	[move] で移動
TUTORIAL.MOVEMENT.FOCUS_TEXT	歩いてみよう!
TUTORIAL.MOVEMENT.DUMMY_TEXT	バーがいっぱいになるまで [move] で移動してください
TUTORIAL.JUMPING.TEXT	[jump] でジャンプ
TUTORIAL.JUMPING.FOCUS_TEXT	飛んでみよう!
TUTORIAL.JUMPING.DUMMY_TEXT	バーがいっぱいになるまで [jump] でジャンプしてください
TUTORIAL.SNEAKING.TEXT	[crouch] でしゃがむ  モンスターに気づかれにくくなります
TUTORIAL.SNEAKING.FOCUS_TEXT	しゃがんでみよう!
TUTORIAL.SNEAKING.DUMMY_TEXT	バーがいっぱいになるまで [crouch] を押しながら [move] で移動してください
TUTORIAL.HIDING.TEXT	[crouch] でしゃがむ  物の下に隠れられます
TUTORIAL.HIDING.FOCUS_TEXT	しゃがんで隠れてみよう!
TUTORIAL.HIDING.DUMMY_TEXT	バーがいっぱいになるまで [crouch] を押しながら物の下に隠れてください
TUTORIAL.SPRINTING.TEXT	[sprint] でダッシュ  スタミナを消費します
TUTORIAL.SPRINTING.FOCUS_TEXT	走ってみよう!
TUTORIAL.SPRINTING.DUMMY_TEXT	バーがいっぱいになるまで [sprint] を押しながら [move] でダッシュしてください  スタミナが無ければ少し待つことで回復します
TUTORIAL.TUMBLING.TEXT	ダッシュしながら [tumble] でカッコよく転がる  ジャンプも効果的!
TUTORIAL.TUMBLING.FOCUS_TEXT	走って、飛んで、転がろう!
TUTORIAL.TUMBLING.DUMMY_TEXT	バーがいっぱいになるまで [sprint] で走りながら [jump] でジャンプ、 [tumble] で転がってください
TUTORIAL.GRABBING.TEXT	[grab] で物をつかむ
TUTORIAL.GRABBING.FOCUS_TEXT	物をつかんでみよう!
TUTORIAL.GRABBING.DUMMY_TEXT	バーがいっぱいになるまで [grab] を押しながら物をつかんでください
TUTORIAL.PUSHING_AND_PULLING.TEXT	[push] でつかんだ物の距離を調整
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	つかんだ物の距離を調整しよう!
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	バーがいっぱいになるまで [grab] で物をつかんで [push] で距離を調整してください
TUTORIAL.ROTATING.TEXT	[grab2] でつかんだ物を回転
TUTORIAL.ROTATING.FOCUS_TEXT	つかんだ物を回転しよう!
TUTORIAL.ROTATING.DUMMY_TEXT	バーがいっぱいになるまで [grab] で物をつかんで [grab2] を使って回転させてください
TUTORIAL.ITEM_TOGGLING.TEXT	アイテムはつかんで [interact] で使用
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	アイテムを使ってみよう!
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	バーがいっぱいになるまで [grab] で物をつかんで [interact] でオンオフを切り替えてください
TUTORIAL.INVENTORY_FILL.TEXT	アイテムをつかんで [inventory1]/[inventory2]/[inventory3] でインベントリに収納
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	3つのアイテムを収納しよう!
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	[grab] でアイテムをつかんで [inventory1]/[inventory2]/[inventory3] でインベントリに収納してください
TUTORIAL.INVENTORY_EMPTY.TEXT	[inventory1]/[inventory2]/[inventory3] でインベントリからアイテムを取り出す
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	アイテムを全部取り出そう!
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	[inventory1]/[inventory2]/[inventory3] を使ってインベントリを空にしてください
TUTORIAL.MAP.TEXT	[map] でマップを見る  マップは移動に<b><u>必要不可欠</u></b>です
TUTORIAL.MAP.FOCUS_TEXT	マップを確認しよう!
TUTORIAL.MAP.DUMMY_TEXT	バーがいっぱいになるまで [map] を押し続けてマップを確認してください
TUTORIAL.CART_HANDLING_1.TEXT	<b>カート</b> は取っ手を持って動かせます
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	カートを持って歩いてみよう!
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	バーがいっぱいになるまで [grab] でカートを持って移動してください
TUTORIAL.CART_HANDLING_2.TEXT	カートにお宝を集めよう\nカートは多くの荷物を運ぶのに<b><u>重要</u></b>です
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	カートにお宝を集めよう!
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	カートにお宝を3つ入れてください
TUTORIAL.EXTRACTION_POINTS.TEXT	<b><u>抽出ポイント</u></b> を起動してお宝を納品する
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	抽出ポイントにお宝を納品しよう!
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	おーい!早くお宝を<b><u>抽出ポイント</u></b>に入れて!
TUTORIAL.TRUCK.TEXT	<b><u>トラック</u></b>に乗り込む  報告してレベルを終了する
TUTORIAL.TRUCK.FOCUS_TEXT	トラックに乗り込んで報告しよう!
TUTORIAL.TRUCK.DUMMY_TEXT	トラックに乗って、画面下のメッセージエリアを [grab] 長押しで報告してください
TUTORIAL.HEALING.TEXT	他のプレイヤーの首をつかんで体力を分け与えよう!
TUTORIAL.REVIVING.TEXT	死亡したプレイヤーの頭を抽出ポイントへ納品すると蘇生できます
TUTORIAL.CHARGING_STATION.TEXT	<b><u>チャージステーション</u></b> 用の <b><u>エナジークリスタル</u></b> を購入すると装備を充電・修理できます
TUTORIAL.ONLY_ONE_EXTRACTION.TEXT	<b><u>抽出ポイント</u></b> は一度に1つだけ起動できます\nマップを使ってポイントを確認できます
TUTORIAL.CHAT.TEXT	[chat] でチャットを開いてお話ししよう!
